"Date","Week day","ON","1W","1M","2M","3M","6M","12M"
"31.12.2018","Mon","2.37825","2.41138","2.50269","2.61375","2.80763","2.87563","3.00544"
"28.12.2018","Fri","2.39238","2.41588","2.51988","2.61950","2.79700","2.87313","3.01313"
"27.12.2018","Thu","2.39100","2.41963","2.52238","2.61900","2.80300","2.88300","3.03238"
"24.12.2018","Mon","2.38988","2.41863","2.50563","2.61175","2.81344","2.89375","3.04788"
"21.12.2018","Fri","2.39163","2.41600","2.50625","2.61188","2.82163","2.90788","3.07313"
"20.12.2018","Thu","2.38788","2.40838","2.50375","2.61738","2.82375","2.90000","3.06544"
"19.12.2018","Wed","2.18175","2.36813","2.47938","2.58956","2.78963","2.87088","3.05275"
"18.12.2018","Tue","2.18025","2.36900","2.47013","2.58725","2.79200","2.87638","3.06131"
"17.12.2018","Mon","2.18125","2.29900","2.46963","2.59063","2.80363","2.90463","3.10388"
"14.12.2018","Fri","2.18475","2.28075","2.45500","2.58800","2.80069","2.90056","3.09769"
"13.12.2018","Thu","2.18438","2.27638","2.45513","2.58863","2.78819","2.90088","3.11238"
"12.12.2018","Wed","2.18475","2.21988","2.44013","2.58494","2.77750","2.89225","3.10125"
"11.12.2018","Tue","2.18213","2.20650","2.43238","2.57981","2.77900","2.88063","3.08950"
"10.12.2018","Mon","2.18200","2.21025","2.42050","2.56763","2.77594","2.87788","3.08400"
"07.12.2018","Fri","2.18088","2.21425","2.40019","2.54525","2.77106","2.88581","3.10056"
"06.12.2018","Thu","2.18238","2.23344","2.38694","2.54044","2.76713","2.88906","3.11194"
"05.12.2018","Wed","2.17188","2.22606","2.38325","2.54275","2.76575","2.89113","3.12575"
"04.12.2018","Tue","2.17613","2.22600","2.37950","2.53625","2.73888","2.89638","3.13294"
"03.12.2018","Mon","2.18188","2.21619","2.37888","2.53656","2.75125","2.89525","3.13819"
"30.11.2018","Fri","2.17750","2.22131","2.34694","2.51006","2.73613","2.89463","3.12025"
"29.11.2018","Thu","2.18275","2.22881","2.34925","2.51125","2.73813","2.88519","3.11869"
"28.11.2018","Wed","2.18250","2.22450","2.34463","2.49500","2.70663","2.88663","3.13413"
"27.11.2018","Tue","2.17850","2.23494","2.34931","2.49900","2.70600","2.88444","3.13075"
"26.11.2018","Mon","2.18300","2.21900","2.33675","2.49525","2.70681","2.89275","3.12838"
"23.11.2018","Fri","2.17700","2.22188","2.32188","2.49538","2.69119","2.88625","3.12075"
"22.11.2018","Thu","","2.22213","2.31488","2.48013","2.68925","2.88725","3.10950"
"21.11.2018","Wed","2.18050","2.22100","2.31513","2.47313","2.67694","2.88588","3.11038"
"20.11.2018","Tue","2.17288","2.21638","2.30550","2.45850","2.65313","2.86325","3.09713"
"19.11.2018","Mon","2.18075","2.21725","2.30025","2.45769","2.64581","2.86575","3.10738"
"16.11.2018","Fri","2.17538","2.21225","2.30088","2.45213","2.64450","2.86263","3.12363"
"15.11.2018","Thu","2.17938","2.21125","2.30250","2.44913","2.64000","2.86019","3.11838"
"14.11.2018","Wed","2.17575","2.20963","2.31038","2.44531","2.62900","2.86344","3.12963"
"13.11.2018","Tue","2.17788","2.21613","2.30650","2.44413","2.61613","2.85500","3.13206"
"12.11.2018","Mon","","2.21550","2.30663","2.44525","2.61413","2.85538","3.13475"
"09.11.2018","Fri","2.17500","2.21913","2.31438","2.45513","2.61813","2.85800","3.14413"
"08.11.2018","Thu","2.17988","2.21619","2.31844","2.45863","2.61463","2.85763","3.14075"
"07.11.2018","Wed","2.17725","2.21588","2.31531","2.44550","2.60113","2.84350","3.12513"
"06.11.2018","Tue","2.17663","2.21138","2.31688","2.42863","2.59125","2.84150","3.11638"
"05.11.2018","Mon","2.17525","2.21425","2.31600","2.42950","2.58925","2.83575","3.11688"
"02.11.2018","Fri","2.17463","2.21400","2.31788","2.42625","2.59238","2.82888","3.10488"
"01.11.2018","Thu","2.17538","2.21788","2.31356","2.41800","2.58150","2.81650","3.09613"
"31.10.2018","Wed","2.17300","2.21238","2.30688","2.39638","2.55850","2.80013","3.08375"
"30.10.2018","Tue","2.18000","2.22925","2.29938","2.39338","2.54100","2.79625","3.07088"
"29.10.2018","Mon","2.17888","2.22625","2.30200","2.39106","2.52663","2.78175","3.06375"
"26.10.2018","Fri","2.17675","2.21838","2.29669","2.38531","2.52038","2.77675","3.05675"
"25.10.2018","Thu","2.17425","2.21950","2.29494","2.37975","2.50925","2.77413","3.05175"
"24.10.2018","Wed","2.17513","2.21031","2.29406","2.36463","2.50800","2.75975","3.03938"
"23.10.2018","Tue","2.17388","2.21688","2.28138","2.35613","2.48988","2.74756","3.03438"
"22.10.2018","Mon","2.17063","2.21206","2.28650","2.36113","2.48738","2.72931","3.03100"
"19.10.2018","Fri","2.17113","2.21400","2.28188","2.35538","2.47719","2.72350","3.02038"
"18.10.2018","Thu","2.17025","2.21319","2.27963","2.34838","2.46900","2.69413","3.00056"
"17.10.2018","Wed","2.17600","2.20913","2.28200","2.33350","2.44963","2.66138","2.96575"
"16.10.2018","Tue","2.17638","2.21531","2.28713","2.33575","2.44456","2.65750","2.96713"
"15.10.2018","Mon","2.17725","2.21931","2.28950","2.34400","2.44881","2.65375","2.96681"
"12.10.2018","Fri","2.16938","2.20350","2.27975","2.33413","2.43644","2.65213","2.96338"
"11.10.2018","Thu","2.17225","2.20888","2.27950","2.33075","2.43631","2.63525","2.95425"
"10.10.2018","Wed","2.17200","2.20250","2.28319","2.32250","2.42519","2.63625","2.96913"
"09.10.2018","Tue","2.16550","2.21500","2.28713","2.31400","2.42044","2.62900","2.96200"
"08.10.2018","Mon","","2.20700","2.28406","2.32175","2.41425","2.62600","2.95788"
"05.10.2018","Fri","2.17175","2.20788","2.27669","2.31875","2.40806","2.62288","2.95831"
"04.10.2018","Thu","2.16525","2.20400","2.28063","2.32388","2.40963","2.62350","2.95688"
"03.10.2018","Wed","2.16813","2.20650","2.27925","2.31925","2.40825","2.60888","2.92725"
"02.10.2018","Tue","2.17725","2.21363","2.27394","2.31988","2.40750","2.60700","2.92475"
"01.10.2018","Mon","2.17075","2.20913","2.26513","2.30975","2.39813","2.60625","2.92550"
"28.09.2018","Fri","2.17138","2.19863","2.26056","2.31075","2.39838","2.60388","2.91863"
"27.09.2018","Thu","2.17388","2.19588","2.25600","2.30375","2.39600","2.60050","2.91738"
"26.09.2018","Wed","1.92525","2.16263","2.24219","2.29425","2.38613","2.59350","2.91450"
"25.09.2018","Tue","1.91625","2.16738","2.23006","2.28300","2.38100","2.59538","2.91188"
"24.09.2018","Mon","1.91800","2.12600","2.21819","2.27250","2.37363","2.59363","2.90888"
"21.09.2018","Fri","1.92088","2.08500","2.21581","2.26788","2.37263","2.59200","2.90825"
"20.09.2018","Thu","1.91738","2.04063","2.21219","2.26350","2.36638","2.58488","2.89663"
"19.09.2018","Wed","1.91863","1.97531","2.18244","2.24750","2.35338","2.57175","2.88713"
"18.09.2018","Tue","1.91888","1.97169","2.16525","2.23750","2.33750","2.56788","2.87950"
"17.09.2018","Mon","1.91463","1.96713","2.16813","2.23363","2.33875","2.57075","2.87944"
"14.09.2018","Fri","1.91513","1.96606","2.16469","2.23175","2.33713","2.56875","2.88019"
"13.09.2018","Thu","1.91988","1.96531","2.15844","2.23100","2.33413","2.56713","2.87344"
