Дата;Средне-взвешенная цена за лот;Расчетная цена;Цена первой сделки;Максим. цена;Миним. цена;Цена последней сделки;Изменение;Объем последней сделки, контр.;Число сделок;Объем торгов, руб.;Объем торгов, контр.;Объем открытых позиций, руб.;Объем открытых позиций, контр.;
10.03.2017;;103000;;;;;;;;;;;;
13.03.2017;;103000;;;;;;;;;;;;
14.03.2017;;103000;;;;;;;;;;;;
15.03.2017;;103000;;;;;;;;;;;;
16.03.2017;;103000;;;;;;;;;;;;
17.03.2017;;103000;;;;;;;;;;;;
20.03.2017;;103000;;;;;;;;;;;;
21.03.2017;;103000;;;;;;;;;;;;
22.03.2017;;103000;;;;;;;;;;;;
23.03.2017;;103000;;;;;;;;;;;;
24.03.2017;;103000;;;;;;;;;;;;
27.03.2017;;103000;;;;;;;;;;;;
28.03.2017;;103000;;;;;;;;;;;;
29.03.2017;;107190;;;;;;;;;;;;
30.03.2017;;106760;;;;;;;;;;;;
31.03.2017;;105960;;;;;;;;;;;;
03.04.2017;;105990;;;;;;;;;;;;
04.04.2017;;105650;;;;;;;;;;;;
05.04.2017;;107980;;;;;;;;;;;;
06.04.2017;;108790;;;;;;;;;;;;
07.04.2017;;106120;;;;;;;;;;;;
10.04.2017;;103680;;;;;;;;;;;;
11.04.2017;;102280;;;;;;;;;;;;
12.04.2017;;102200;;;;;;;;;;;;
13.04.2017;;101940;;;;;;;;;;;;
14.04.2017;;100600;;;;;;;;;;;;
17.04.2017;;101770;;;;;;;;;;;;
18.04.2017;;101590;;;;;;;;;;;;
19.04.2017;;101670;;;;;;;;;;;;
20.04.2017;;101680;;;;;;;;;;;;
21.04.2017;;101680;;;;;;;;;;;;
24.04.2017;;104350;;;;;;;;;;;;
25.04.2017;;105940;;;;;;;;;;;;
26.04.2017;;106880;;;;;;;;;;;;
27.04.2017;;105240;;;;;;;;;;;;
28.04.2017;;105900;;;;;;;;;;;;
02.05.2017;;106820;;;;;;;;;;;;
03.05.2017;;104390;;;;;;;;;;;;
04.05.2017;;103340;;;;;;;;;;;;
05.05.2017;101639;105100;98450;105210;98400;105100;;2;11;3073091;26;;;
10.05.2017;102583;105200;99050;105310;99050;105200;0,10;1;8;1653710;14;484543;4;
11.05.2017;104529;106480;103810;107930;100500;107930;2,60;3;5;1193899;10;729710;6;
12.05.2017;103383;102520;106990;106990;102500;102520;-5,01;1;8;1536707;13;2578870;22;
15.05.2017;;102520;;;;;;;;;;2542941;22;
16.05.2017;107800;107780;107800;107800;107800;107800;;1;2;607766;5;1458367;12;
17.05.2017;107733;107400;108000;108000;107400;107400;-0,37;4;2;1102561;9;732767;6;
18.05.2017;;102860;;;;;;;;;;709827;6;
19.05.2017;;103580;;;;;;;;;;707729;6;
22.05.2017;102640;100000;105280;105280;100000;100000;;1;2;232905;2;680742;6;
23.05.2017;;102660;;;;;;;;;;693164;6;
24.05.2017;;102720;;;;;;;;;;696411;6;
25.05.2017;;104030;;;;;;;;;;703800;6;
26.05.2017;;101240;;;;;;;;;;689906;6;
29.05.2017;;101420;;;;;;;;;;685735;6;
30.05.2017;;102380;;;;;;;;;;696028;6;
31.05.2017;;100690;;;;;;;;;;686611;6;
01.06.2017;;98870;;;;;;;;;;668488;6;
02.06.2017;;98630;;;;;;;;;;670611;6;
05.06.2017;;97830;;;;;;;;;;665177;6;
06.06.2017;;97930;;;;;;;;;;665722;6;
07.06.2017;;97810;;;;;;;;;;668745;6;
08.06.2017;;96630;;;;;;;;;;659790;6;
09.06.2017;;96200;;;;;;;;;;657667;6;
13.06.2017;;96930;;;;;;;;;;662106;6;
14.06.2017;;96420;;;;;;;;;;660242;6;
15.06.2017;;96420;;;;;;;;;;668040;6;
16.06.2017;;95680;;;;;;;;;;663103;6;
19.06.2017;;95510;;;;;;;;;;668308;6;
20.06.2017;96920;96840;96920;96920;96920;96920;;1;1;115652;1;924450;8;
21.06.2017;;93500;;;;;;;;;;894922;8;
22.06.2017;;92640;;;;;;;;;;886424;8;
23.06.2017;94380;94380;94380;94380;94380;94380;;1;1;112328;1;1123282;10;
26.06.2017;;95400;;;;;;;;;;1127227;10;
27.06.2017;;95170;;;;;;;;;;1122111;10;
28.06.2017;;95800;;;;;;;;;;1139100;10;
29.06.2017;;95670;;;;;;;;;;1132886;10;
30.06.2017;;95890;;;;;;;;;;1134983;10;
03.07.2017;;96650;;;;;;;;;;1147748;10;
04.07.2017;;96740;;;;;;;;;;1147714;10;
05.07.2017;;97210;;;;;;;;;;1168085;10;
06.07.2017;;95840;;;;;;;;;;1147837;10;
07.07.2017;;96630;;;;;;;;;;1168730;10;
10.07.2017;;96450;;;;;;;;;;1163139;10;
11.07.2017;;97180;;;;;;;;;;1184070;10;
12.07.2017;;97580;;;;;;;;;;1172336;10;
13.07.2017;;99240;;;;;;;;;;1190414;10;
14.07.2017;100390;100390;100390;100390;100390;100390;;1;1;118815;1;1188146;10;
17.07.2017;;99920;;;;;;;;;;1185381;10;
18.07.2017;;100010;;;;;;;;;;1182418;10;
19.07.2017;;100460;;;;;;;;;;1184423;10;
20.07.2017;;100360;;;;;;;;;;1183867;10;
21.07.2017;;100170;;;;;;;;;;1185171;10;
24.07.2017;;101570;;;;;;;;;;1220374;10;
25.07.2017;;101570;;;;;;;;;;1218505;10;
26.07.2017;;101570;;;;;;;;;;1214716;10;
