Дата;Средне-взвешенная цена за лот;Расчетная цена;Цена первой сделки;Максим. цена;Миним. цена;Цена последней сделки;Изменение;Объем последней сделки, контр.;Число сделок;Объем торгов, руб.;Объем торгов, контр.;Объем открытых позиций, руб.;Объем открытых позиций, контр.;
09.06.2017;;99800;;;;;;;;;;;;
13.06.2017;100000;100000;100000;100000;100000;100000;;1;1;113846;1;227692;2;
14.06.2017;;98250;;;;;;;;;;224258;2;
15.06.2017;95000;95000;95000;95000;95000;95000;;1;1;109700;1;438801;4;
16.06.2017;;93660;;;;;;;;;;432735;4;
19.06.2017;94299;94380;96280;96540;91070;94380;;1;6;769804;7;660401;6;
20.06.2017;;92030;;;;;;;;;;658900;6;
21.06.2017;;91470;;;;;;;;;;656619;6;
22.06.2017;;91060;;;;;;;;;;653479;6;
23.06.2017;93280;93280;93280;93280;93280;93280;;1;1;111019;1;666114;6;
26.06.2017;;93280;;;;;;;;;;661307;6;
27.06.2017;;93860;;;;;;;;;;663999;6;
28.06.2017;94940;94940;94940;94940;94940;94940;;1;1;112887;1;451550;4;
29.06.2017;;95500;;;;;;;;;;452349;4;
30.06.2017;;94940;;;;;;;;;;449495;4;
03.07.2017;;95110;;;;;;;;;;451784;4;
04.07.2017;;96190;;;;;;;;;;456475;4;
05.07.2017;;95850;;;;;;;;;;460697;4;
06.07.2017;;95760;;;;;;;;;;458752;4;
07.07.2017;;95500;;;;;;;;;;462025;4;
10.07.2017;96890;96890;96890;96890;96890;96890;;1;1;116845;1;701067;6;
11.07.2017;;96500;;;;;;;;;;705471;6;
12.07.2017;98000;98000;98000;98000;98000;98000;;1;2;235476;2;470953;4;
13.07.2017;;100970;;;;;;;;;;484466;4;
14.07.2017;;100690;;;;;;;;;;476679;4;
17.07.2017;;100040;;;;;;;;;;474722;4;
18.07.2017;;100050;;;;;;;;;;473156;4;
19.07.2017;;101050;;;;;;;;;;476552;4;
20.07.2017;;101750;;;;;;;;;;480105;4;
21.07.2017;;101750;;;;;;;;;;481546;4;
24.07.2017;98735;98500;98970;98970;98500;98500;;1;2;237262;2;710092;6;
25.07.2017;;98630;;;;;;;;;;709941;6;
26.07.2017;;98630;;;;;;;;;;707733;6;
27.07.2017;99900;99900;99900;99900;99900;99900;;1;1;118717;1;474869;4;
28.07.2017;98500;98500;98500;98500;98500;98500;-1,40;1;1;117331;1;703987;6;
31.07.2017;98650;97820;100000;100000;97820;97820;-0,69;1;3;355954;3;1176530;10;
01.08.2017;99900;99500;99900;100300;99500;99500;1,72;1;3;360845;3;718800;6;
02.08.2017;;98630;;;;;;;;;;716480;6;
03.08.2017;99900;99900;99900;99900;99900;99900;;1;1;120225;1;721348;6;
04.08.2017;;100760;;;;;;;;;;724813;6;
07.08.2017;;100470;;;;;;;;;;724379;6;
08.08.2017;;101840;;;;;;;;;;730761;6;
09.08.2017;;101420;;;;;;;;;;732177;6;
10.08.2017;;100570;;;;;;;;;;723603;6;
11.08.2017;99800;99800;99800;99800;99800;99800;;1;1;119569;1;956555;8;
14.08.2017;;100860;;;;;;;;;;962011;8;
15.08.2017;;100100;;;;;;;;;;957861;8;
16.08.2017;;101840;;;;;;;;;;968588;8;
17.08.2017;;100820;;;;;;;;;;955007;8;
18.08.2017;;100250;;;;;;;;;;951100;8;
21.08.2017;;101570;;;;;;;;;;959235;8;
22.08.2017;;102670;;;;;;;;;;969328;8;
23.08.2017;;102000;;;;;;;;;;963639;8;
24.08.2017;;102000;;;;;;;;;;965720;8;
25.08.2017;;102340;;;;;;;;;;963609;8;
28.08.2017;;103780;;;;;;;;;;972269;8;
29.08.2017;;102370;;;;;;;;;;962204;8;
30.08.2017;;103550;;;;;;;;;;967687;8;
31.08.2017;;107160;;;;;;;;;;996185;8;
01.09.2017;;106890;;;;;;;;;;984500;8;
04.09.2017;;105220;;;;;;;;;;973487;8;
05.09.2017;;107860;;;;;;;;;;990000;8;
06.09.2017;;106300;;;;;;;;;;974933;8;
07.09.2017;;109380;;;;;;;;;;997764;8;
08.09.2017;;109380;;;;;;;;;;1002122;8;
11.09.2017;;108700;;;;;;;;;;994631;8;
