Архив значений за период
MOSPRIME Rate: 09.01.2018 - 29.12.2018

Дата;ON;1W;2W;1M;2M;3M;6M
09.01.2018;7,72;7,78;7,79;7,84;7,86;7,88;7,84
10.01.2018;7,53;7,76;7,78;7,82;7,86;7,87;7,83
11.01.2018;7,50;7,73;7,78;7,82;7,87;7,86;7,83
12.01.2018;7,42;7,69;7,77;7,81;7,84;7,84;7,81
15.01.2018;7,38;7,70;7,78;7,82;7,86;7,85;7,81
16.01.2018;7,36;7,68;7,76;7,81;7,85;7,84;7,80
17.01.2018;7,35;7,68;7,74;7,79;7,83;7,82;7,78
18.01.2018;7,38;7,68;7,74;7,79;7,83;7,80;7,78
19.01.2018;7,42;7,67;7,73;7,78;7,81;7,80;7,77
22.01.2018;7,40;7,62;7,69;7,76;7,76;7,77;7,73
23.01.2018;7,39;7,61;7,68;7,73;7,73;7,74;7,72
24.01.2018;7,36;7,58;7,64;7,72;7,73;7,74;7,72
25.01.2018;7,38;7,58;7,63;7,70;7,72;7,73;7,70
26.01.2018;7,48;7,59;7,63;7,70;7,71;7,73;7,70
29.01.2018;7,52;7,58;7,62;7,68;7,68;7,71;7,68
30.01.2018;7,57;7,59;7,61;7,68;7,68;7,70;7,68
31.01.2018;7,53;7,58;7,61;7,68;7,68;7,70;7,68
01.02.2018;7,56;7,61;7,60;7,68;7,68;7,69;7,68
02.02.2018;7,52;7,58;7,59;7,66;7,66;7,68;7,67
05.02.2018;7,50;7,53;7,55;7,61;7,63;7,67;7,63
06.02.2018;7,53;7,53;7,56;7,61;7,62;7,65;7,63
07.02.2018;7,49;7,53;7,55;7,59;7,60;7,63;7,63
08.02.2018;7,46;7,48;7,49;7,54;7,56;7,58;7,58
09.02.2018;7,44;7,43;7,47;7,52;7,53;7,54;7,55
12.02.2018;7,21;7,32;7,34;7,40;7,43;7,44;7,43
13.02.2018;7,18;7,29;7,32;7,36;7,38;7,38;7,35
14.02.2018;7,26;7,32;7,32;7,35;7,36;7,38;7,33
15.02.2018;7,31;7,35;7,34;7,36;7,38;7,41;7,38
16.02.2018;7,39;7,38;7,38;7,40;7,41;7,42;7,41
19.02.2018;7,46;7,43;7,43;7,42;7,41;7,40;7,39
20.02.2018;7,51;7,48;7,47;7,42;7,39;7,38;7,36
21.02.2018;7,53;7,52;7,48;7,44;7,40;7,38;7,35
22.02.2018;7,52;7,53;7,48;7,45;7,39;7,38;7,35
26.02.2018;7,56;7,58;7,51;7,48;7,39;7,38;7,35
27.02.2018;7,56;7,59;7,54;7,53;7,40;7,38;7,35
28.02.2018;7,61;7,62;7,56;7,56;7,41;7,38;7,35
01.03.2018;7,63;7,63;7,58;7,54;7,43;7,41;7,38
02.03.2018;7,63;7,63;7,58;7,54;7,44;7,41;7,38
05.03.2018;7,59;7,62;7,60;7,54;7,44;7,41;7,39
06.03.2018;7,57;7,57;7,58;7,54;7,44;7,40;7,38
07.03.2018;7,55;7,58;7,58;7,52;7,43;7,39;7,38
12.03.2018;7,52;7,54;7,59;7,54;7,44;7,41;7,39
13.03.2018;7,54;7,53;7,58;7,55;7,44;7,41;7,40
14.03.2018;7,54;7,52;7,58;7,55;7,44;7,41;7,39
15.03.2018;7,51;7,50;7,55;7,54;7,43;7,41;7,39
16.03.2018;7,52;7,50;7,55;7,54;7,43;7,41;7,39
19.03.2018;7,54;7,53;7,53;7,52;7,41;7,38;7,36
20.03.2018;7,53;7,51;7,49;7,48;7,40;7,36;7,34
21.03.2018;7,50;7,44;7,45;7,43;7,39;7,37;7,36
22.03.2018;7,50;7,43;7,43;7,41;7,39;7,37;7,36
23.03.2018;7,35;7,39;7,39;7,38;7,37;7,34;7,34
26.03.2018;7,29;7,31;7,31;7,28;7,29;7,28;7,29
27.03.2018;7,29;7,27;7,29;7,28;7,28;7,27;7,28
28.03.2018;7,29;7,28;7,29;7,30;7,29;7,28;7,28
29.03.2018;7,30;7,29;7,29;7,31;7,29;7,28;7,28
30.03.2018;7,31;7,30;7,30;7,31;7,29;7,28;7,28
02.04.2018;7,31;7,32;7,32;7,34;7,29;7,29;7,29
03.04.2018;7,33;7,32;7,32;7,35;7,29;7,29;7,29
04.04.2018;7,26;7,28;7,29;7,35;7,29;7,29;7,29
05.04.2018;7,19;7,27;7,29;7,33;7,29;7,29;7,29
06.04.2018;7,23;7,27;7,28;7,32;7,28;7,28;7,28
09.04.2018;7,25;7,30;7,31;7,33;7,28;7,29;7,28
10.04.2018;7,29;7,33;7,33;7,35;7,29;7,32;7,31
